# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: EI1A
# Creation date: 01/26/2022 18:10:20
# 
# 01/26/2022 18:10:20
# The parameters defined in the project are:
# ,P1 - L [mm],P2 - W [mm],P3 - T [mm],P4 - D [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4
DP 0,1000,300,4,150
# 
# A non parametric change occurred and invalidated design point results.
# 01/26/2022 18:21:48
# 
# 
# 01/26/2022 18:30:16
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - L [mm],P2 - W [mm],P3 - T [mm],P4 - D [mm],P5 - F [kN],P6 - Force Magnitude [N],P7 - Equivalent Stress Maximum [MPa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7
DP 1,1000,280,5,140,6,1500,18.569360866565315
DP 2,1000,260,4,130,7,1750,29.137746566540187
DP 3,1000,220,3,110,8,2000,52.390479267802426
DP 4,1000,200,2,100,9,2250,97.155811337853521
DP 3,1000,220,3,110,8,2000,52.390479267802426
# 
# A non parametric change occurred and invalidated design point results.
# 01/26/2022 19:30:20
# 
DP 0,1000,300,4,150,5,1250,17.965899310438072
DP 1,1000,280,5,140,6,1500,18.458831663684666
DP 2,1000,260,4,130,7,1750,28.942735028673244
DP 4,1000,200,2,100,9,2250,96.058785076316383
# 
# A non parametric change occurred and invalidated design point results.
# 01/26/2022 21:42:23
# 
# 
# 01/31/2022 11:34:00
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - L [mm],P2 - W [mm],P3 - T [mm],P4 - D [mm],P5 - F [kN],P6 - Force Magnitude [N],P7 - Equivalent Stress Maximum [MPa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7
DP 0,1000,300,4,150,5,1250,17.965899310438072
DP 1,1000,280,5,140,6,1500,18.458831663684666
DP 2,1000,260,4,130,7,1750,28.942735028673244
DP 4,1000,200,2,100,9,2250,96.058785076316383
